ID,Project,Website,Collection,Product,Short_Name,Description,Access,Notebook,Format,Category,Start,End,Region,Coordinate,Spatial Resolution,Temporal Resolution,Released,Polygon,Variables,DOI,Theme1,Theme2,Theme3,EO_Missions,Consortium
11,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2009.nc,HOLAPS ET,HOLAPS ET 2009,HOLAPS 2009,2009 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2009.nc,,NetCDF,ancillary,1-1-2009,31-12-2009,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
12,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2010.nc,HOLAPS ET,HOLAPS ET 2010,HOLAPS 2010,2010 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2010.nc,,NetCDF,ancillary,1-1-2010,31-12-2010,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
13,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2011.nc,HOLAPS ET,HOLAPS ET 2010,HOLAPS 2011,2011 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2011.nc,,NetCDF,ancillary,1-1-2011,31-12-2011,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
14,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2012.nc,HOLAPS ET,HOLAPS ET 2012,HOLAPS 2012,2012 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2012.nc,,NetCDF,ancillary,1-1-2012,31-12-2012,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
15,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2013.nc,HOLAPS ET,HOLAPS ET 2013,HOLAPS 2013,2013 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2013.nc,,NetCDF,ancillary,1-1-2013,31-12-2013,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
16,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2014.nc,HOLAPS ET,HOLAPS ET 2014,HOLAPS 2014,2014 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2014.nc,,NetCDF,ancillary,1-1-2014,31-12-2014,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
17,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2015.nc,HOLAPS ET,HOLAPS ET 2015,HOLAPS 2015,2015 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2015.nc,,NetCDF,ancillary,1-1-2015,31-12-2015,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
18,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2016.nc,HOLAPS ET,HOLAPS ET 2016,HOLAPS 2016,2016 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2016.nc,,NetCDF,ancillary,1-1-2016,31-12-2016,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
19,CGLS,https://land.copernicus.eu/global/products/ssm,CGLS Surface Soil Moisture 1km,CGLS Surface Soil Moisture 1km,CGLS_SSM_1km,CGLS surface soil moisture product over Europe derived from Sentinel-1 C-band backscatter,https://land.copernicus.eu/global/access,,GeoTIFF,hr,3-10-2014,,Europe,wgs84,1km,d,2018,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",soil moisture,https://doi.org/10.1109/TGRS.2018.2858004,land,,,Sentinel-1,Tuwien
20,CGLS,https://land.copernicus.eu/global/products/swi,CGLS Soil Water Index 1km,CGLS Soil Water Index 1km Europe,CGLS_SWI_1km,CGLS soil water index product over Europe derived from  SCATSAR (Scatterometer-Synthetic Aperture Radar) fusion of the Advanced SCATterometer and Sentinel-1 C-band backscatter,https://land.copernicus.eu/global/access,,GeoTIFF,hr,3-10-2014,,Europe,wgs84,1km,d,2018,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",soil moisture,https://doi.org/10.3390/rs10071030,land,,,Sentinel-1,Tuwien
21,BEC,https://bec.icm.csic.es/data/available-products/#SoilMoisture,Barcelona Expert Center SMOS Soil Moisture,Barcelona Expert Center SMOS Soil Moisture L4 1km v06.0,SMOS_BEC_1km,Surface soil moisture estimates generated by downscaling of the SMOS L3 soil moisture v4.0 (at 25 km resolution) though a linear regression model of SSM with land surface temperature (LST) and normalized difference vegetation index (NDVI),https://bec.icm.csic.es/bec-ftp-service/,,NetCDF,hr,1-6-2010,31-12-2022,global,wgs84,1km,d,2022,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",soil moisture,https://doi.org/10.20350/digitalCSIC/14723,land,,,SMOS,Tuwien
22,NSIDC,https://nsidc.org/data/nsidc-0779/versions/1,SMAP-Derived 1-km Downscaled Surface Soil Moisture Product,"SMAP-Derived 1-km Downscaled Surface Soil Moisture Product, Version 1",SMAP_1km,Surface Soil Moisture estimates from the L-band radiometer Soil Moisture Active Passive (SMAP) mission downscaled using a physical model that relates the same-day overpass SMAP SSM difference to the surface temperature.,https://urs.earthdata.nasa.gov/oauth/authorize?client_id=_JLuwMHxb2xX6NwYTb4dRA&response_type=code&redirect_uri=https%3A%2F%2Fn5eil01u.ecs.nsidc.org%2FOPS%2Fredirect&state=aHR0cHM6Ly9uNWVpbDAxdS5lY3MubnNpZGMub3JnL1NNQVAvTlNJREMtMDc3OS4wMDEv,,GeoTIFF,hr,1-4-2015,29-11-2022,global,wgs84,1km,d,2022,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",soil moisture,https://doi.org/10.5067/U8QZ2AXE5V7B,land,,,SMAP,Tuwien
23,G3P,https://www.g3p.eu/what-we-have-for-you,Global Gravity-based Groundwater Product (G3P) Groundwater Storage Anomalies,Global Gravity-based Groundwater Product (G3P) Groundwater Storage Anomalies v1.11,G3P_GWSA,The Global Gravity-based Groundwater Product (G3P) provides groundwater storage anomalies (GWSA) extracted from the GRACE(-FO) terrestrial water storage (TWS) through a subtraction of independently evaluated water cycle storage comparments.,https://dataservices.gfz-potsdam.de/panmetaworks/showshort.php?id=2cd347ef-be20-11ed-95b8-f851ad6d1e4b,,NetCDF,ancillary,1-4-2002,1-12-2022,global,wgs84,0.5 degree,m,2023,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",groundwater storage anomalies,https://doi.org/10.5880/G3P.2023.001,land,,,GRACE,Tuwien
24,G3P,https://www.g3p.eu/what-we-have-for-you,Global Gravity-based Groundwater Product (G3P) Terrestrial Water Storage,Global Gravity-based Groundwater Product (G3P) Terrestrial Water Storage v1.11,G3P_TWS,The Global Gravity-based Groundwater Product (G3P) provides terrestrial water storage (TWS) derved from the GRACE(-FO) mission gravity field measurements .,https://dataservices.gfz-potsdam.de/panmetaworks/showshort.php?id=2cd347ef-be20-11ed-95b8-f851ad6d1e4b,,NetCDF,ancillary,1-4-2002,1-12-2022,global,wgs84,0.5 degree,m,2023,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",total water storage,https://doi.org/10.5880/G3P.2023.001,land,,,GRACE,Tuwien
25,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200701 for europe,SM2A+GPM-200701 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070101_20070131.nc,,NetCDF,HR,2007/01/01,2007/01/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
26,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200702 for europe,SM2A+GPM-200702 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070201_20070228.nc,,NetCDF,HR,2007/02/01,2007/02/28,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
27,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200703 for europe,SM2A+GPM-200703 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070301_20070331.nc,,NetCDF,HR,2007/03/01,2007/03/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
28,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200704 for europe,SM2A+GPM-200704 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070401_20070430.nc,,NetCDF,HR,2007/04/01,2007/04/30,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
29,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200705 for europe,SM2A+GPM-200705 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070501_20070531.nc,,NetCDF,HR,2007/05/01,2007/05/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
30,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200706 for europe,SM2A+GPM-200706 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070601_20070630.nc,,NetCDF,HR,2007/06/01,2007/06/30,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
31,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200707 for europe,SM2A+GPM-200707 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070701_20070731.nc,,NetCDF,HR,2007/07/01,2007/07/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
32,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200708 for europe,SM2A+GPM-200708 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070801_20070831.nc,,NetCDF,HR,2007/08/01,2007/08/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
33,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200709 for europe,SM2A+GPM-200709 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20070901_20070930.nc,,NetCDF,HR,2007/09/01,2007/09/30,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
34,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200710 for europe,SM2A+GPM-200710 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20071001_20071031.nc,,NetCDF,HR,2007/10/01,2007/10/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
35,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200711 for europe,SM2A+GPM-200711 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20071101_20071130.nc,,NetCDF,HR,2007/11/01,2007/11/30,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
36,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200712 for europe,SM2A+GPM-200712 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20071201_20071231.nc,,NetCDF,HR,2007/12/01,2007/12/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
37,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200801 for europe,SM2A+GPM-200801 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20080101_20080131.nc,,NetCDF,HR,2008/01/01,2008/01/31,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
38,4dHydro,https://4dhydro.eu,4DHYDRO precipitation product: SM2RAIN+GPM,4DHYDRO precipitation product: GPM+SMRAIN-ASCAT-200802 for europe,SM2A+GPM-200802 EU,The product is characterized by the integration of GPM Late run precipitation estimates and SM2RAIN-derived rainfall. The soil moisture-based estimates are obtained through the application of SM2RAIN to ASCAT retrievals. The two products are merged with a triple collocation technique (third product: ERA5 Land precipitation). Prior the merging the data are downscaled at 1 km spatial resolution using CHELSA (1 km) climatology. The merging technique allows to obtain a high-resolution product (1km-24 hour) over Europe. The product has been developed in the framework of the 4DHydro project for the entire ASCAT era (2007-2022).,https://cnrirpi.s3.sbg.io.cloud.ovh.net/cnrirpi_mergedgpmsm2a_p_europe_0p0083deg_daily_20080201_20080229.nc,,NetCDF,HR,2008/02/01,2008/02/29,europe,wgs84,1 km,d,2023,"[[[-11,33],[42,33],[42,73],[-11,73],[-11,33]]]",precipitation,,Atmosphere,,,METOP;GPM,CNR-IRPI
